(0, 0), (1, 0)
(1, 0), (1, 1)
(1, 1), (0, 1)
(0, 1), (0, 2)
(0, 2), (0, 3)
(0, 3), (0, 4)
(0, 4), (0, 5)
(0, 5), (0, 6)
(0, 6), (1, 6)
(1, 6), (2, 6)
(2, 6), (3, 6)
(3, 6), (3, 5)
(3, 5), (4, 5)
(4, 5), (4, 4)
(4, 4), (3, 4)
(3, 4), (2, 4)
(2, 4), (2, 3)
(2, 3), (1, 3)
(1, 3), (1, 4)
(1, 4), (1, 5)
(1, 5), (2, 5)
(1, 3), (1, 2)
(1, 2), (2, 2)
(2, 2), (2, 1)
(2, 1), (2, 0)
(2, 0), (3, 0)
(3, 0), (3, 1)
(3, 1), (3, 2)
(3, 2), (4, 2)
(4, 2), (5, 2)
(5, 2), (6, 2)
(6, 2), (6, 1)
(6, 1), (7, 1)
(7, 1), (8, 1)
(8, 1), (8, 0)
(8, 0), (9, 0)
(9, 0), (9, 1)
(9, 1), (9, 2)
(9, 2), (8, 2)
(8, 2), (8, 3)
(8, 3), (8, 4)
(8, 4), (8, 5)
(8, 5), (9, 5)
(9, 5), (9, 4)
(9, 4), (10, 4)
(10, 4), (11, 4)
(11, 4), (11, 3)
(11, 3), (12, 3)
(12, 3), (12, 2)
(12, 2), (13, 2)
(13, 2), (13, 1)
(13, 1), (13, 0)
(13, 0), (12, 0)
(12, 0), (11, 0)
(11, 0), (11, 1)
(11, 1), (11, 2)
(11, 2), (10, 2)
(10, 2), (10, 1)
(10, 1), (10, 0)
(10, 2), (10, 3)
(10, 3), (9, 3)
(11, 1), (12, 1)
(13, 0), (14, 0)
(14, 0), (14, 1)
(14, 1), (14, 2)
(14, 2), (15, 2)
(15, 2), (16, 2)
(16, 2), (17, 2)
(17, 2), (18, 2)
(18, 2), (18, 1)
(18, 1), (18, 0)
(18, 0), (17, 0)
(17, 0), (16, 0)
(16, 0), (15, 0)
(15, 0), (15, 1)
(15, 1), (16, 1)
(16, 1), (17, 1)
(18, 0), (19, 0)
(19, 0), (20, 0)
(20, 0), (21, 0)
(21, 0), (22, 0)
(22, 0), (22, 1)
(22, 1), (21, 1)
(21, 1), (21, 2)
(21, 2), (21, 3)
(21, 3), (22, 3)
(22, 3), (22, 2)
(22, 2), (23, 2)
(23, 2), (23, 3)
(23, 3), (24, 3)
(24, 3), (24, 4)
(24, 4), (25, 4)
(25, 4), (25, 5)
(25, 5), (25, 6)
(25, 6), (25, 7)
(25, 7), (24, 7)
(24, 7), (24, 6)
(24, 6), (24, 5)
(24, 5), (23, 5)
(23, 5), (23, 6)
(23, 6), (23, 7)
(23, 7), (23, 8)
(23, 8), (24, 8)
(24, 8), (25, 8)
(25, 8), (26, 8)
(26, 8), (26, 7)
(26, 7), (26, 6)
(26, 6), (27, 6)
(27, 6), (28, 6)
(28, 6), (28, 7)
(28, 7), (28, 8)
(28, 8), (27, 8)
(27, 8), (27, 7)
(27, 8), (27, 9)
(27, 9), (26, 9)
(26, 9), (25, 9)
(25, 9), (25, 10)
(25, 10), (25, 11)
(25, 11), (24, 11)
(24, 11), (23, 11)
(23, 11), (23, 12)
(23, 12), (22, 12)
(22, 12), (21, 12)
(21, 12), (21, 13)
(21, 13), (22, 13)
(22, 13), (23, 13)
(23, 13), (24, 13)
(24, 13), (25, 13)
(25, 13), (25, 14)
(25, 14), (26, 14)
(26, 14), (26, 13)
(26, 13), (26, 12)
(26, 12), (27, 12)
(27, 12), (28, 12)
(28, 12), (29, 12)
(29, 12), (29, 13)
(29, 13), (28, 13)
(28, 13), (28, 14)
(28, 14), (28, 15)
(28, 15), (27, 15)
(27, 15), (27, 14)
(27, 14), (27, 13)
(27, 15), (27, 16)
(27, 16), (26, 16)
(26, 16), (26, 17)
(26, 17), (26, 18)
(26, 18), (27, 18)
(27, 18), (27, 19)
(27, 19), (27, 20)
(27, 20), (26, 20)
(26, 20), (25, 20)
(25, 20), (25, 21)
(25, 21), (26, 21)
(26, 21), (26, 22)
(26, 22), (27, 22)
(27, 22), (27, 21)
(27, 21), (28, 21)
(28, 21), (28, 20)
(28, 20), (29, 20)
(29, 20), (29, 21)
(29, 21), (29, 22)
